id,sentence,tags
31,Je hebt gelijk.,Syntax:Declarative
32,Waarvan hou jüj dan?,Syntax:Interrogative
33,Wat kijk jüj meestal?,Syntax:Interrogative
34,Rhana Ik kijk eigenlijk niet zo veel tv.,"Syntax:Declarative, Modality:Negation:Niet"
35,Ik heb ook geen tv.,"Syntax:Declarative, Modality:Negation:Geen"
36,Soms kijk ik online wat programma's terug die ik heb gemist.,"Syntax:Declarative, Verb:Tense:Perfectum"
37,"Meestal kijk ik het journaal, een talkshow, of een documentaire.","Syntax:Declarative, Syntax:Connectivity:Coordinate"
38,Een quiz vind ik soms ook wel leuk.,"Syntax:Declarative, Modality:Particle:Wel"
39,"Maar ik kijk eigenlijk vooral programma's van de NPO, niet van andere zenders.","Syntax:Declarative, Syntax:Connectivity:Coordinate, Modality:Particle:Maar, Modality:Negation:Niet"
40,"En ik heb ook geen abonnement of zo, om series te kijken.","Syntax:Declarative, Syntax:Connectivity:Coordinate, Verb:Cluster:Om-Te, Modality:Negation:Geen"
41,"Abel Oké, maar kijk je dan ook nooit een film?","Syntax:Interrogative, Syntax:Connectivity:Coordinate, Modality:Particle:Maar"
42,"Rhana Ja, soms wel in de bioscoop.","Syntax:Declarative, Modality:Particle:Wel"
43,Abel Maar je kijkt geen series?,"Syntax:Interrogative, Syntax:Connectivity:Coordinate, Modality:Particle:Maar, Modality:Negation:Geen"
44,"Er zijn echt zó veel goede series, echt allerlei verschillende soorten.","Syntax:Declarative, Syntax:InfoStructure:Er-Presentative"
45,"Er zijn series over politiek, drama, comedy's, misdaadseries, romantische series, soapseries, echt gebeurde verhalen.","Syntax:Declarative, Syntax:InfoStructure:Er-Presentative, Verb:Tense:Perfectum"
46,Van alles.,Syntax:Declarative
47,Dat doe ik echt het liefst in het weekend: alleen op de bank hangen en series kijken.,"Syntax:Declarative, Syntax:Connectivity:Coordinate, Syntax:Connectivity:Subordinate"
48,Dan kijk ik vaak vier of vijf afleveringen achter elkaar.,"Syntax:Declarative, Syntax:Connectivity:Coordinate"
49,Dat vind ik ideaal voor zondagmiddag.,"Syntax:Declarative, Syntax:Connectivity:Subordinate"
50,"Rhana Hm, waarom vind je dat zo leuk?","Syntax:Interrogative, Syntax:Connectivity:Subordinate"
51,"Ik bedoel, het lijkt me wel leuk hoor.","Syntax:Declarative, Modality:Particle:Hoor, Modality:Particle:Wel"
52,"Maar het is niet echt actief ofzo, of sociaal.","Syntax:Declarative, Syntax:Connectivity:Coordinate, Modality:Particle:Maar, Modality:Negation:Niet"
53,Ik vind het een beetje zonde van mijn tijd om de hele dag series te kijken.,"Syntax:Declarative, Verb:Cluster:Om-Te"
54,"Abel Nee, maar die series zijn gewoon superspannend.","Syntax:Declarative, Syntax:Connectivity:Coordinate, Modality:Particle:Maar"
55,Ze zijn echt verslavend.,"Syntax:Declarative, Verb:Tense:Perfectum"
56,"En je hoeft even helemaal aan niets te denken, alleen maar te kijken.","Syntax:Declarative, Syntax:Connectivity:Coordinate, Verb:Cluster:Te-Infinitive, Modality:Particle:Maar, Modality:Particle:Even"
57,Echt ontspannen vind ik dat.,"Syntax:Declarative, Syntax:Connectivity:Subordinate"
58,Dan heb ik echt even rust.,"Syntax:Declarative, Modality:Particle:Even"
59,Maar wat doe jij dan als je vrij bent?,"Syntax:Interrogative, Syntax:Connectivity:Coordinate, Syntax:Connectivity:Subordinate, Verb:Tense:Perfectum, Modality:Particle:Maar"
60,"Rhana O, in het weekend ga ik meestal sporten.",Syntax:Declarative
61,Of ik drink koffie met vriendinnen of ik ga gewoon even de stad in.,"Syntax:Declarative, Syntax:Connectivity:Coordinate, Modality:Particle:Even"
62,"Abel Ja, ja... dat is ook leuk natuurlijk.","Syntax:Declarative, Syntax:Connectivity:Subordinate"
63,"Maar goed, zullen we dan het journaal kijken?","Syntax:Interrogative, Syntax:Connectivity:Coordinate, Verb:Cluster:Auxiliary/Modal, Modality:Particle:Maar"
64,Er is trouwens ook voetbal op tv...,"Syntax:Declarative, Syntax:InfoStructure:Er-Presentative"
65,"Rhana O, sport vind ik wel leuk.","Syntax:Declarative, Modality:Particle:Wel"
66,Ajax-PSV toch vanavond?,"Syntax:Interrogative, Modality:Particle:Toch"
67,Ik ben benieuwd wie er gaat winnen.,"Syntax:Declarative, Verb:Tense:Perfectum, Pronoun:Quantitative/Locative-Er"
68,"Abel Oké, gezellig.",Syntax:Declarative
69,Voor welk doel gebruiken mensen sociale media?,Syntax:Interrogative
70,Sociale media zijn bij de hele Nederlandse bevolking populair.,Syntax:Declarative
71,"Jongeren, mensen van middelbare leeftijd en ouderen gebruiken sociale media.","Syntax:Declarative, Syntax:Connectivity:Coordinate"
72,Dat doen ze vooral om contact te maken.,"Syntax:Declarative, Syntax:Connectivity:Subordinate, Verb:Cluster:Om-Te"
73,Zestig procent van de gebruikers heeft dankzij sociale media meer contact met vrienden en familie.,"Syntax:Declarative, Syntax:Connectivity:Coordinate"
74,Daarnaast gebruiken ze sociale media om nieuws te volgen.,"Syntax:Declarative, Verb:Cluster:Om-Te"
75,Of ze doen dat om tweedehands spullen en koopjes te zoeken.,"Syntax:Declarative, Syntax:Connectivity:Coordinate, Syntax:Connectivity:Subordinate, Verb:Cluster:Om-Te"
76,"Een deel van de gebruikers zoekt op sociale media naar evenementen, zoals concerten, festivals of speciale feestdagen.","Syntax:Declarative, Syntax:Connectivity:Coordinate"
77,Tot slot willen mensen via sociale media volgen wat andere mensen doen.,"Syntax:Declarative, Verb:Cluster:Auxiliary/Modal"
78,Hoeveel tijd besteden gebruikers aan sociale media?,Syntax:Interrogative
79,De meeste gebruikers besteden minder dan een uur per dag aan sociale media.,Syntax:Declarative
80,Het valt echter op dat jongeren tussen de 18 en 25 jaar veel vaker op sociale media zitten.,"Syntax:Declarative, Syntax:Connectivity:Coordinate, Syntax:Connectivity:Subordinate"
81,De helft van hen besteedt één tot drie uur per dag aan sociale media.,Syntax:Declarative
82,Voor een kwart is dit drie tot vijf uur.,Syntax:Declarative
83,Een kleine groep van tien procent besteedt zelfs zo'n tien uur per dag aan sociale media.,Syntax:Declarative
84,Ouderen op sociale media Er is ook een toename van het aantal ouderen op sociale media. 65 procent van de ouderen tussen de 65 en 75 jaar zit op sociale media.,"Syntax:Declarative, Syntax:Connectivity:Coordinate, Syntax:InfoStructure:Er-Presentative"
85,Dat is meer dan een aantal jaar geleden.,"Syntax:Declarative, Syntax:Connectivity:Subordinate, Verb:Tense:Perfectum"
86,Er zitten meer ouderen op sociale media omdat ze handiger met hun smartphone of computer zijn geworden.,"Syntax:Declarative, Syntax:Connectivity:Coordinate, Syntax:Connectivity:Subordinate, Syntax:InfoStructure:Er-Presentative, Verb:Tense:Perfectum"
87,Ze communiceren via sociale media met hun kleinkinderen en andere familieleden of kennissen.,"Syntax:Declarative, Syntax:Connectivity:Coordinate"
88,Wat plaatsen gebruikers?,Syntax:Interrogative
89,"De meeste gebruikers delen foto's van belangrijke gebeurtenissen, zoals een huwelijk of een diploma-uitreiking.","Syntax:Declarative, Syntax:Connectivity:Coordinate"
90,"Ze plaatsen slechts een paar keer per jaar een bericht, foto of filmpje op hun profiel.","Syntax:Declarative, Syntax:Connectivity:Coordinate"
91,Een klein deel van de gebruikers plaatst bijna iedere dag iets.,Syntax:Declarative
92,Dit zijn vooral jongeren.,Syntax:Declarative
93,"Zij delen ook foto's van dagelijkse activiteiten, zoals een bezoek aan de sportschool, een restaurant of een feestje.","Syntax:Declarative, Syntax:Connectivity:Coordinate"
94,Wat zijn de nadelen?,Syntax:Interrogative
95,"Het gebruik van sociale media heeft een aantal risico's, vooral bij jongeren.",Syntax:Declarative
96,Uit onderzoek blijkt dat steeds meer jongeren aan sociale media verslaafd zijn.,"Syntax:Declarative, Syntax:Connectivity:Subordinate, Verb:Tense:Perfectum"
97,Via hun smartphone zijn ze eigenlijk constant met sociale media bezig.,Syntax:Declarative
98,Deze jongeren krijgen stress als ze hun berichten niet kunnen lezen.,"Syntax:Declarative, Syntax:Connectivity:Subordinate, Verb:Cluster:Auxiliary/Modal, Modality:Negation:Niet"
99,Ze kunnen ook slaapproblemen krijgen.,"Syntax:Declarative, Verb:Cluster:Auxiliary/Modal"
100,En ze halen soms slechtere studieresultaten.,"Syntax:Declarative, Syntax:Connectivity:Coordinate"
101,Kritische gebruikers noemen nog meer nadelen.,Syntax:Declarative
102,Ze vinden het eigenlijk zonde van hun tijd om sociale media te gebruiken.,"Syntax:Declarative, Verb:Cluster:Om-Te"
103,Ook vinden ze de advertenties via sociale media irritant.,Syntax:Declarative
104,Daarnaast zijn ze bezorgd over hun privacy.,"Syntax:Declarative, Verb:Tense:Perfectum"
105,in & Zoek &e A Home Mijn netwerk Vacatures Berichten Notificaties Bericht Meer...,
106,Boushra Ik ben een ervaren psycholoog.,Syntax:Declarative
107,Ik geef therapie aan mensen die een depressie of andere persoonlijke problemen hebben.,"Syntax:Declarative, Syntax:Connectivity:Coordinate"
108,Deze functie past goed bij mijn kwaliteiten.,Syntax:Declarative
109,"Ik ben geduldig, betrouwbaar en behulpzaam.","Syntax:Declarative, Syntax:Connectivity:Coordinate"
110,Mensen praten makkelijk over hun gevoel met mij en ik kan goed luisteren.,"Syntax:Declarative, Syntax:Connectivity:Coordinate, Verb:Cluster:Auxiliary/Modal"
111,Ik vind het belangrijk dat mensen zich tijdens de therapie veilig voelen.,"Syntax:Declarative, Syntax:Connectivity:Subordinate"
112,Vorig jaar heb ik mijn eerste boek geschreven.,"Syntax:Declarative, Verb:Tense:Perfectum"
113,"Het gaat over een onderwerp dat ik altijd interessant gevonden heb, namelijk depressie bij jongeren. in Q Zoek &8 A Home Mijn netwerk Vacatures Berichten Notificaties Ik Bericht Meer...","Syntax:Declarative, Syntax:Connectivity:Subordinate, Verb:Tense:Perfectum"
114,Reza Al 15 jaar werk ik met veel plezier bij de Bijenkorf in Amsterdam.,Syntax:Declarative
115,Tijdens mijn studie Business en Fashion heb ik een jaar bij de Bijenkorf stage gelopen.,"Syntax:Declarative, Syntax:Connectivity:Coordinate, Verb:Tense:Perfectum"
116,"Ik viel ook regelmatig in, als een verkoper ziek was.","Syntax:Declarative, Syntax:Connectivity:Subordinate"
117,Na mijn studie ben ik verkoper geworden.,"Syntax:Declarative, Verb:Tense:Perfectum"
118,En tegenwoordig geef ik als manager leiding aan een groep enthousiaste medewerkers.,"Syntax:Declarative, Syntax:Connectivity:Coordinate, Syntax:Connectivity:Subordinate"
119,Contact met collega's vind ik het leukste van mijn baan.,Syntax:Declarative
120,Mijn collega's beschrijven me als sociaal en flexibel.,"Syntax:Declarative, Syntax:Connectivity:Coordinate, Syntax:Connectivity:Subordinate"
121,"Als het nodig is, val ik in of ruil ik een dag met een collega.","Syntax:Declarative, Syntax:Connectivity:Coordinate, Syntax:Connectivity:Subordinate"
122,Verder vind ik mezelf creatief en ik heb veel kennis van mode.,"Syntax:Declarative, Syntax:Connectivity:Coordinate"
123,Ook ben ik goed in verkopen.,"Syntax:Declarative, Verb:Tense:Perfectum"
124,Ik kan heel goed kleding aan onze klanten verkopen. in a Zoek E Home he Mijn netwerk A Vacatures Berichten Notificaties Paulo Bericht Meer...,"Syntax:Declarative, Verb:Cluster:Auxiliary/Modal"
125,Ik ben een actief persoon die van hard werken houdt.,Syntax:Declarative
126,Ik ben bijna klaar met mijn studie wiskunde en ik werk als bezorger bij PostNL.,"Syntax:Declarative, Syntax:Connectivity:Coordinate, Syntax:Connectivity:Subordinate"
127,Ook geef ik bijles aan scholieren die wiskunde moeilijk vinden.,Syntax:Declarative
128,Op dit moment ben ik op zoek naar een serieuze baan.,Syntax:Declarative
129,Ik ben kritisch en ik heb een duidelijke mening.,"Syntax:Declarative, Syntax:Connectivity:Coordinate"
130,Daarnaast kan ik goed met apparaten werken en ik ben dus erg handig.,"Syntax:Declarative, Syntax:Connectivity:Coordinate, Verb:Cluster:Auxiliary/Modal"
131,Ik heb vooral interesse in een baan bij een klein bedrijf.,Syntax:Declarative
132,"Ik ben zelfstandig, maar ik kan ook goed samenwerken.","Syntax:Declarative, Syntax:Connectivity:Coordinate, Verb:Cluster:Auxiliary/Modal, Modality:Particle:Maar"
133,Een goede sfeer op het werk vind ik heel belangrijk.,Syntax:Declarative
134,Dat lijkt me heerlijk Julie belt haar vriendin Petra.,"Syntax:Declarative, Syntax:Connectivity:Subordinate"
135,Julie en Petra hebben allebei kinderen.,"Syntax:Declarative, Syntax:Connectivity:Coordinate"
136,"De vriend van Petra, Hans, is ook thuis.",Syntax:Declarative
137,Petra Hé Julie.,Syntax:Declarative
138,"Julie Hoi, hoe is het?",Syntax:Interrogative
139,Petra Goed hoor.,"Syntax:Declarative, Modality:Particle:Hoor"
140,Bij jullie?,Syntax:Interrogative
141,"Julie Ja, prima.",Syntax:Declarative
142,"Hé, ga je vanmiddag mee zwemmen, in dat nieuwe zwembad?","Syntax:Interrogative, Syntax:Connectivity:Subordinate"
143,Ze hebben een speciale middag voor ouders en kinderen.,"Syntax:Declarative, Syntax:Connectivity:Coordinate"
144,Dus wij kunnen ook mee.,"Syntax:Declarative, Verb:Cluster:Auxiliary/Modal"
145,"Petra Hm, nou, dat lijkt me wel leuk, maar dat gaat niet.","Syntax:Declarative, Syntax:Connectivity:Coordinate, Syntax:Connectivity:Subordinate, Modality:Particle:Maar, Modality:Particle:Wel, Modality:Particle:Nou, Modality:Negation:Niet"
146,Ik moet Joris vanmiddag naar hockeytraining brengen.,"Syntax:Declarative, Verb:Cluster:Auxiliary/Modal"
147,Julie O jammer.,Syntax:Declarative
148,"Ik ga sowieso, want ze hebben voor volwassenen ook een sauna.","Syntax:Declarative, Syntax:Connectivity:Coordinate"
149,"Petra O, dat lijkt me heerlijk ...","Syntax:Declarative, Syntax:Connectivity:Subordinate"
150,Julie Kan Hans Joris niet naar hockey brengen?,"Syntax:Interrogative, Verb:Cluster:Auxiliary/Modal, Modality:Negation:Niet"
151,"Petra Hm ja, wie weet, wacht, ik vraag het even.","Syntax:Declarative, Modality:Particle:Even"
152,Hans Ja.,Syntax:Declarative
153,Petra Hans Petra Kun jij Joris vanmiddag naar het hockeyveld brengen?,Syntax:Interrogative
154,Hoe laat?,Syntax:Interrogative
155,Om twee uur.,Syntax:Declarative
156,"Hans Hm, dat is lastig.","Syntax:Declarative, Syntax:Connectivity:Subordinate"
157,Ik heb met Sjoerd afgesproken.,Syntax:Declarative
158,"We gaan hardlopen, omdat we volgende week die wedstrijd hebben.","Syntax:Declarative, Syntax:Connectivity:Subordinate, Verb:Cluster:Auxiliary/Modal"
159,Weet je nog?,Syntax:Interrogative
160,We moeten trainen.,"Syntax:Declarative, Verb:Cluster:Auxiliary/Modal"
161,"Petra O ja, dat is volgende week al.","Syntax:Declarative, Syntax:Connectivity:Subordinate"
162,Julie Julie?,Syntax:Interrogative
163,"Petra Ja, dat gaat dus niet.","Syntax:Declarative, Syntax:Connectivity:Subordinate, Modality:Negation:Niet"
164,Hans moet voor een hardloopwedstrijd trainen.,"Syntax:Declarative, Verb:Cluster:Auxiliary/Modal"
165,"Julie Nou ja, niks aan te doen.","Syntax:Declarative, Verb:Cluster:Te-Infinitive, Modality:Particle:Nou"
166,Ga je dit weekend nog wel iets leuks doen?,"Syntax:Interrogative, Syntax:WordOrder:V1-Inversion, Modality:Particle:Wel"
167,"Petra Nou, naar de hockey dus.","Syntax:Declarative, Modality:Particle:Nou"
168,Ik denk dat ik daarna gelijk boodschappen voor mijn vader doe.,"Syntax:Declarative, Syntax:Connectivity:Subordinate"
169,Misschien ga ik met hem ook nog een stukje op het strand wandelen.,Syntax:Declarative
170,"Julie Goh, heb jij wel een beetje tijd voor jezelf, af en toe?","Syntax:Interrogative, Syntax:Connectivity:Coordinate, Modality:Particle:Wel"
171,"Petra Ach, voorlopig niet zoveel denk ik.","Syntax:Declarative, Modality:Negation:Niet"
172,"De kinderen hebben zoveel activiteiten, we moeten ze overal naartoe brengen en weer ophalen.","Syntax:Declarative, Syntax:Connectivity:Coordinate, Verb:Cluster:Auxiliary/Modal"
173,"Dus ja, ik heb pas meer vrije tijd als de kinderen ouder zijn.","Syntax:Declarative, Syntax:Connectivity:Subordinate"
174,Onze agenda's zitten behoorlijk vol.,Syntax:Declarative
175,Julie Dat hoor ik.,"Syntax:Declarative, Syntax:Connectivity:Subordinate, Modality:Particle:Hoor"
176,"Nou, een fijn weekend dan.","Syntax:Declarative, Modality:Particle:Nou"
177,Laten we binnenkort samen iets gaan drinken.,"Syntax:Declarative, Verb:Cluster:Auxiliary/Modal"
178,"Petra Ja leuk, veel plezier in het zwembad vanmiddag.",Syntax:Declarative
179,"Julie Dank je, doei.",Syntax:Declarative
180,"Petra Doei, tot snel.",Syntax:Declarative
181,Wanneer bent u vrij en wanneer is de school van uw kinderen dicht?,"Syntax:Interrogative, Syntax:Connectivity:Coordinate, Verb:Tense:Perfectum"
182,Hier leest u alles over vrije dagen in Nederland.,Syntax:Declarative
183,Feestdagen Nederland heeft niet zoveel officiële vrije dagen als de meeste andere Europese landen.,"Syntax:Declarative, Syntax:Connectivity:Subordinate, Modality:Negation:Niet"
184,"Op de christelijke feestdagen Kerstmis, Pasen, Hemelvaart en Pinksteren zijn de meeste mensen vrij.","Syntax:Declarative, Syntax:Connectivity:Coordinate"
185,Scholen hebben dan vakantie en de meeste bedrijven en kantoren zijn dicht.,"Syntax:Declarative, Syntax:Connectivity:Coordinate, Verb:Tense:Perfectum"
186,Dat geldt ook voor 1 januari.,"Syntax:Declarative, Syntax:Connectivity:Subordinate"
187,"Kerstmis is ieder jaar op dezelfde datum, op 25 en 26 december.","Syntax:Declarative, Syntax:Connectivity:Coordinate"
188,"De andere feestdagen vallen ieder jaar op een andere datum, in het voorjaar.",Syntax:Declarative
189,Koningsdag en 4 en 5 mei Behalve de christelijke feestdagen heeft Nederland nog één officiële vrije dag: Koningsdag.,"Syntax:Declarative, Syntax:Connectivity:Coordinate"
190,Dat is ieder jaar op 27 april: de verjaardag van koning Willem-Alexander.,"Syntax:Declarative, Syntax:Connectivity:Subordinate"
191,Koningsdag kent veel tradities.,Syntax:Declarative
192,Veel plaatsen hebben een markt en optredens met muziek en mensen dragen oranje kleding. 4 en 5 mei zijn ook speciale dagen.,"Syntax:Declarative, Syntax:Connectivity:Coordinate"
193,Dan herdenken veel Nederlanders het einde van de Tweede Wereldoorlog in 1945.,Syntax:Declarative
194,"Op 4 mei is iedereen om 20.00 uur twee minuten stil, uit respect voor de slachtoffers.",Syntax:Declarative
195,Op 5 mei vieren ze dat de oorlog is afgelopen.,"Syntax:Declarative, Syntax:Connectivity:Subordinate"
196,"In veel steden zijn dan feesten. 5 mei is één keer in de vijf jaar ook een officiële vrije dag, bijvoorbeeld in 2020, 2025, enzovoorts.",Syntax:Declarative
197,"Vakanties Scholieren hebben in Nederland vijf keer per jaar vakantie: in de herfst, met kerst en oud en nieuw, in het voorjaar, in mei en in de zomer.","Syntax:Declarative, Syntax:Connectivity:Coordinate"
198,De data van de vakanties zijn ieder jaar anders.,Syntax:Declarative
199,Ze verschillen soms ook per regio.,Syntax:Declarative
200,"Het zuiden, noorden en midden van Nederland hebben niet altijd tegelijk vakantie.","Syntax:Declarative, Syntax:Connectivity:Coordinate, Modality:Negation:Niet"
201,Jade Mijn zus heeft twee kinderen.,Syntax:Declarative
202,"Op vrijdagavond wil ze met haar vriend uitgaan, maar ze heeft geen oppas.","Syntax:Declarative, Syntax:Connectivity:Coordinate, Verb:Cluster:Auxiliary/Modal, Modality:Particle:Maar, Modality:Negation:Geen"
203,Nu heeft ze mij gevraagd.,"Syntax:Declarative, Verb:Tense:Perfectum"
204,"Ik ben dol op mijn neefje en nichtje, maar ik heb al andere plannen op vrijdag.","Syntax:Declarative, Syntax:Connectivity:Coordinate, Modality:Particle:Maar"
205,"Ik wil dus eigenlijk 'nee' zeggen, maar ik durf het niet.","Syntax:Declarative, Syntax:Connectivity:Coordinate, Verb:Cluster:Auxiliary/Modal, Modality:Particle:Maar, Modality:Negation:Niet"
206,Mijn zus wordt namelijk nogal snel kwaad.,Syntax:Declarative
207,Ze vindt dat je je familie altijd moet helpen.,"Syntax:Declarative, Syntax:Connectivity:Subordinate, Verb:Cluster:Auxiliary/Modal"
208,Is dat zo?,"Syntax:Interrogative, Syntax:Connectivity:Subordinate"
209,Mag ik geen 'nee' tegen mijn familie zeggen?,"Syntax:Interrogative, Syntax:WordOrder:V1-Inversion, Verb:Cluster:Auxiliary/Modal, Modality:Negation:Geen"
210,Kunnen jullie even reageren?,"Syntax:Interrogative, Syntax:WordOrder:V1-Inversion, Verb:Cluster:Auxiliary/Modal, Modality:Particle:Even"
211,"Ja, je zus heeft gelijk.",Syntax:Declarative
212,Je moet niet zo egoïstisch doen.,"Syntax:Declarative, Verb:Cluster:Auxiliary/Modal, Modality:Negation:Niet"
213,Het is toch niet zoveel moeite?,"Syntax:Interrogative, Modality:Particle:Toch, Modality:Negation:Niet"
214,Je kunt zelf op zaterdagavond nog iets leuks gaan doen.,"Syntax:Declarative, Verb:Cluster:Auxiliary/Modal"
215,John Pff... je zus is zelf egoïstisch.,Syntax:Declarative
216,Kan ze geen oppas betalen?,"Syntax:Interrogative, Syntax:WordOrder:V1-Inversion, Verb:Cluster:Auxiliary/Modal, Modality:Negation:Geen"
217,"Je moet het niet doen, als je geen zin hebt.","Syntax:Declarative, Syntax:Connectivity:Subordinate, Verb:Cluster:Auxiliary/Modal, Modality:Negation:Niet, Modality:Negation:Geen"
218,"Het is het gezin van je zus en je zwager, dus het is ook hun probleem.","Syntax:Declarative, Syntax:Connectivity:Coordinate"
219,Doen zij wel eens iets voor jou?,"Syntax:Interrogative, Modality:Particle:Wel"
220,"Simon Omar Een vriend van me heeft een hond, maar hij reist veel voor zijn werk.","Syntax:Declarative, Syntax:Connectivity:Coordinate, Modality:Particle:Maar"
221,En dan is die hond een probleem natuurlijk.,"Syntax:Declarative, Syntax:Connectivity:Coordinate"
222,"Hij heeft me een maand geleden al een keer gevraagd: 'Mag mijn hond bij je logeren?' Ik heb toen gezegd: 'Sorry, ik kan niet, want ik ben dit weekend niet thuis'.","Syntax:Interrogative, Syntax:Connectivity:Coordinate, Syntax:Connectivity:Subordinate, Verb:Tense:Perfectum, Verb:Cluster:Auxiliary/Modal, Modality:Negation:Niet"
223,Ik heb niet uitgelegd dat ik niet van honden hou.,"Syntax:Declarative, Syntax:Connectivity:Subordinate, Modality:Negation:Niet"
224,Dat durf ik niet.,"Syntax:Declarative, Syntax:Connectivity:Subordinate, Modality:Negation:Niet"
225,Maar nu vraagt hij het weer!,"Syntax:Exclamatory, Syntax:Connectivity:Coordinate, Modality:Particle:Maar"
226,Ik wil helemaal niet op zijn hond passen.,"Syntax:Declarative, Verb:Cluster:Auxiliary/Modal, Modality:Negation:Niet"
227,Bovendien heb ik niet genoeg ruimte in mijn huis.,"Syntax:Declarative, Modality:Negation:Niet"
228,Moet ik nu eerlijk zijn?,"Syntax:Interrogative, Syntax:WordOrder:V1-Inversion, Verb:Cluster:Auxiliary/Modal"
229,Of moet ik weer een excuus verzinnen?,"Syntax:Interrogative, Syntax:Connectivity:Coordinate, Verb:Cluster:Auxiliary/Modal"
230,Hij is één van mijn beste vrienden en ik wil geen ruzie met hem.,"Syntax:Declarative, Syntax:Connectivity:Coordinate, Verb:Cluster:Auxiliary/Modal, Modality:Negation:Geen"
231,"Zeg gewoon 'nee' tegen je vriend, maar leg je reactie wel uit.","Syntax:Declarative, Syntax:Connectivity:Coordinate, Modality:Particle:Maar, Modality:Particle:Wel"
232,Vertel hem dat je niet van honden houdt.,"Syntax:Declarative, Syntax:Connectivity:Subordinate, Modality:Negation:Niet"
233,Dan vraagt hij je de volgende keer ook niet meer.,"Syntax:Declarative, Modality:Negation:Niet"
234,"Sara Zeg nee, en bedenk gewoon een smoes.","Syntax:Declarative, Syntax:Connectivity:Coordinate"
235,Zeg bijvoorbeeld dat je naar je schoonouders moet.,"Syntax:Declarative, Syntax:Connectivity:Subordinate, Verb:Cluster:Auxiliary/Modal"
236,Of zeg dat je voor een examen moet studeren en dat je geen tijd hebt.,"Syntax:Declarative, Syntax:Connectivity:Coordinate, Syntax:Connectivity:Subordinate, Verb:Cluster:Auxiliary/Modal, Modality:Negation:Geen"
237,Philip Je moet inderdaad zeggen dat je honden niet leuk vindt.,"Syntax:Declarative, Syntax:Connectivity:Subordinate, Verb:Cluster:Auxiliary/Modal, Modality:Negation:Niet"
238,Dat is toch de waarheid?,"Syntax:Interrogative, Syntax:Connectivity:Subordinate, Modality:Particle:Toch"
239,"Je moet niet liegen, dat is niet goed voor jullie vriendschap.","Syntax:Declarative, Syntax:Connectivity:Subordinate, Verb:Cluster:Auxiliary/Modal, Modality:Negation:Niet"
240,Je vriend wordt vast boos als hij dat ontdekt.,"Syntax:Declarative, Syntax:Connectivity:Subordinate"
241,Nederlands leren Bas heeft een interview met Omar over Nederlands leren.,Syntax:Declarative
242,"Omar komt uit Egypte, zijn moedertaal is Arabisch.",Syntax:Declarative
243,In Cairo was hij docent Engels.,Syntax:Declarative
244,"Hij heeft het Staatsexamen NT2, Programma II, gehaald.","Syntax:Declarative, Verb:Tense:Perfectum"
245,Bas Welkom Omar.,Syntax:Declarative
