id,sentence,tags
44,"Er zijn echt zó veel goede series, echt allerlei verschillende soorten.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.3sg-masc | PARTICLE.echt-intensifier | DEGREE.Intensifier
45,"Er zijn series over politiek, drama, comedy's, misdaadseries, romantische series, soapseries, echt gebeurde verhalen.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.3sg-masc | PARTICLE.echt-intensifier | DEGREE.Intensifier
46,Van alles.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.Indefinite
47,Dat doe ik echt het liefst in het weekend: alleen op de bank hangen en series kijken.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.De | ARTICLE.Het | NP.Adjective-superlative | PRONOUN.1sg | PARTICLE.echt-intensifier | DEGREE.Intensifier | SYNTAX.Subordinate-clause | CONNECTOR.en-additive | TOPIC.Media-entertainment | TOPIC.Daily-life
48,Dan kijk ik vaak vier of vijf afleveringen achter elkaar.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | VERB.Reflexive | PRONOUN.1sg | CONNECTOR.of-alternative | DISCOURSE.Backchannel-opener
49,Dat vind ik ideaal voor zondagmiddag.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | NP.Noun-compound | PRONOUN.1sg | SYNTAX.Subordinate-clause
50,"Rhana Hm, waarom vind je dat zo leuk?",SENTENCE_TYPE.Wh-question | TENSE.Presens | PRONOUN.2sg-informal | SYNTAX.Subordinate-clause | DISCOURSE.Informal-register | DISCOURSE.Backchannel-opener
51,"Ik bedoel, het lijkt me wel leuk hoor.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.Het | PRONOUN.1sg | PARTICLE.hoor | PARTICLE.wel
52,"Maar het is niet echt actief ofzo, of sociaal.",SENTENCE_TYPE.Negative-declarative | TENSE.Presens | ARTICLE.Het | PARTICLE.echt-intensifier | DEGREE.Intensifier | NEGATION.niet | CONNECTOR.of-alternative
53,Ik vind het een beetje zonde van mijn tijd om de hele dag series te kijken.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | VERBCLUSTER.te-inf | ARTICLE.De | ARTICLE.Het | NP.Diminutive | PRONOUN.1sg | DEGREE.Downtoner | TOPIC.Media-entertainment
54,"Abel Nee, maar die series zijn gewoon superspannend.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Perfectum | NP.Demonstrative | PRONOUN.3sg-masc | PRONOUN.Relative-clause | PARTICLE.maar | PARTICLE.gewoon | CONNECTOR.maar-adversative
55,Ze zijn echt verslavend.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.3sg-masc | PARTICLE.echt-intensifier | DEGREE.Intensifier
56,"En je hoeft even helemaal aan niets te denken, alleen maar te kijken.",SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.hoeven-neg | VERBCLUSTER.modal-inf | VERBCLUSTER.te-inf | PRONOUN.2sg-informal | PRONOUN.Indefinite | PARTICLE.maar | PARTICLE.even | NEGATION.niets | CONNECTOR.maar-adversative | DISCOURSE.Informal-register | TOPIC.Media-entertainment
57,Echt ontspannen vind ik dat.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | NP.Demonstrative | PRONOUN.1sg | SYNTAX.Subordinate-clause
58,Dan heb ik echt even rust.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.1sg | PARTICLE.even | PARTICLE.echt-intensifier | DEGREE.Intensifier
59,Maar wat doe jij dan als je vrij bent?,SENTENCE_TYPE.Wh-question | TENSE.Presens | PRONOUN.2sg-informal | DEGREE.Moderate-intensifier | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | DISCOURSE.Informal-register
60,"Rhana O, in het weekend ga ik meestal sporten.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Futurum-gaan | VERBCLUSTER.gaan-inf | ARTICLE.Het | PRONOUN.1sg | DISCOURSE.Backchannel-opener | TOPIC.Daily-life
61,Of ik drink koffie met vriendinnen of ik ga gewoon even de stad in.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Futurum-gaan | VERBCLUSTER.gaan-inf | VERB.Separable-verb | ARTICLE.De | PRONOUN.1sg | PARTICLE.even | PARTICLE.gewoon | CONNECTOR.of-alternative | TOPIC.Daily-life | TOPIC.Travel-leisure
62,"Abel Ja, ja... dat is ook leuk natuurlijk.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | NP.Demonstrative | PRONOUN.Relative-clause | PARTICLE.natuurlijk | SYNTAX.Subordinate-clause | DISCOURSE.Backchannel-opener
63,"Maar goed, zullen we dan het journaal kijken?",SENTENCE_TYPE.Yes-no-question | TENSE.Futurum-zullen | MODAL.zullen | VERBCLUSTER.modal-inf | ARTICLE.Het | PRONOUN.1pl | TOPIC.Media-entertainment
64,Er is trouwens ook voetbal op tv...,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PARTICLE.trouwens | TOPIC.Media-entertainment
65,"Rhana O, sport vind ik wel leuk.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.1sg | PARTICLE.wel | DISCOURSE.Backchannel-opener | TOPIC.Health
66,Ajax-PSV toch vanavond?,SENTENCE_TYPE.Tag-question | TENSE.Presens | NP.Noun-compound | PARTICLE.toch
67,Ik ben benieuwd wie er gaat winnen.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Futurum-gaan
68,"Abel Oké, gezellig.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | DISCOURSE.Backchannel-opener
69,Voor welk doel gebruiken mensen sociale media?,SENTENCE_TYPE.Wh-question | TENSE.Presens | TOPIC.Media-entertainment
70,Sociale media zijn bij de hele Nederlandse bevolking populair.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.De | PRONOUN.3sg-masc
71,"Jongeren, mensen van middelbare leeftijd en ouderen gebruiken sociale media.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | NP.Noun-compound | CONNECTOR.en-additive | TOPIC.Media-entertainment
72,Dat doen ze vooral om contact te maken.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | VERBCLUSTER.te-inf | PRONOUN.3sg-fem | PRONOUN.3pl | SYNTAX.Subordinate-clause
73,Zestig procent van de gebruikers heeft dankzij sociale media meer contact met vrienden en familie.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.De | NP.Adjective-comparative | CONNECTOR.en-additive | TOPIC.Media-entertainment | TOPIC.Relationships-family
74,Daarnaast gebruiken ze sociale media om nieuws te volgen.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | VERBCLUSTER.te-inf | PRONOUN.3sg-fem | PRONOUN.3pl | TOPIC.Media-entertainment
75,Of ze doen dat om tweedehands spullen en koopjes te zoeken.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | VERBCLUSTER.te-inf | NP.Demonstrative | PRONOUN.3sg-fem | PRONOUN.3pl | SYNTAX.Subordinate-clause | CONNECTOR.en-additive
76,"Een deel van de gebruikers zoekt op sociale media naar evenementen, zoals concerten, festivals of speciale feestdagen.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.De | CONNECTOR.of-alternative | TOPIC.Media-entertainment
77,Tot slot willen mensen via sociale media volgen wat andere mensen doen.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.willen | VERBCLUSTER.modal-inf | PRONOUN.Relative-clause | TOPIC.Media-entertainment
78,Hoeveel tijd besteden gebruikers aan sociale media?,SENTENCE_TYPE.Yes-no-question | TENSE.Presens | TOPIC.Media-entertainment
79,De meeste gebruikers besteden minder dan een uur per dag aan sociale media.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | NP.Adjective-comparative | TOPIC.Media-entertainment
80,Het valt echter op dat jongeren tussen de 18 en 25 jaar veel vaker op sociale media zitten.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.De | NP.Demonstrative | SYNTAX.Subordinate-clause | CONNECTOR.en-additive | CONNECTOR.echter-contrast | TOPIC.Media-entertainment
81,De helft van hen besteedt één tot drie uur per dag aan sociale media.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.3pl | TOPIC.Media-entertainment
82,Voor een kwart is dit drie tot vijf uur.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | NP.Demonstrative
83,Een kleine groep van tien procent besteedt zelfs zo'n tien uur per dag aan sociale media.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | TOPIC.Media-entertainment
84,Ouderen op sociale media Er is ook een toename van het aantal ouderen op sociale media. 65 procent van de ouderen tussen de 65 en 75 jaar zit op sociale media.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.De | ARTICLE.Het | ER.Existential | CONNECTOR.en-additive | INFSTR.Topicalization-fronting | TOPIC.Media-entertainment
85,Dat is meer dan een aantal jaar geleden.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Perfectum | NP.Adjective-comparative | SYNTAX.Subordinate-clause
86,Er zitten meer ouderen op sociale media omdat ze handiger met hun smartphone of computer zijn geworden.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Perfectum | NP.Adjective-comparative | PRONOUN.3sg-masc | PRONOUN.3pl | SYNTAX.Subordinate-clause | CONNECTOR.omdat-causal | CONNECTOR.of-alternative | TOPIC.Media-entertainment
87,Ze communiceren via sociale media met hun kleinkinderen en andere familieleden of kennissen.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.3pl | CONNECTOR.en-additive | CONNECTOR.of-alternative | TOPIC.Media-entertainment | TOPIC.Relationships-family
88,Wat plaatsen gebruikers?,SENTENCE_TYPE.Yes-no-question | TENSE.Presens | TOPIC.Media-entertainment
89,"De meeste gebruikers delen foto's van belangrijke gebeurtenissen, zoals een huwelijk of een diploma-uitreiking.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | CONNECTOR.of-alternative | TOPIC.Media-entertainment | TOPIC.Education | TOPIC.Relationships-family
90,"Ze plaatsen slechts een paar keer per jaar een bericht, foto of filmpje op hun profiel.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | NP.Diminutive | PRONOUN.3pl | CONNECTOR.of-alternative | TOPIC.Media-entertainment
91,Een klein deel van de gebruikers plaatst bijna iedere dag iets.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.De | PRONOUN.Indefinite
92,Dit zijn vooral jongeren.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.3sg-masc
93,"Zij delen ook foto's van dagelijkse activiteiten, zoals een bezoek aan de sportschool, een restaurant of een feestje.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.De | NP.Diminutive | NP.Noun-compound | CONNECTOR.of-alternative | TOPIC.Media-entertainment
94,Wat zijn de nadelen?,SENTENCE_TYPE.Yes-no-question | TENSE.Presens | ARTICLE.De | PRONOUN.3sg-masc
95,"Het gebruik van sociale media heeft een aantal risico's, vooral bij jongeren.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | TOPIC.Media-entertainment
96,Uit onderzoek blijkt dat steeds meer jongeren aan sociale media verslaafd zijn.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | NP.Demonstrative | NP.Adjective-comparative | PRONOUN.3sg-masc | PRONOUN.Relative-clause | SYNTAX.Subordinate-clause | TOPIC.Media-entertainment
97,Via hun smartphone zijn ze eigenlijk constant met sociale media bezig.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.3sg-masc | PRONOUN.3pl | PARTICLE.eigenlijk | TOPIC.Media-entertainment
98,Deze jongeren krijgen stress als ze hun berichten niet kunnen lezen.,SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.kunnen | PRONOUN.3sg-fem | PRONOUN.3pl | NEGATION.niet | MODALITY.Epistemic-kan | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | TOPIC.Health
99,Ze kunnen ook slaapproblemen krijgen.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | MODALITY.Epistemic-kan
100,En ze halen soms slechtere studieresultaten.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.3sg-fem | PRONOUN.3pl
101,Kritische gebruikers noemen nog meer nadelen.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | NP.Adjective-comparative | PARTICLE.nog
102,Ze vinden het eigenlijk zonde van hun tijd om sociale media te gebruiken.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | VERBCLUSTER.te-inf | ARTICLE.Het | PRONOUN.3pl | PARTICLE.eigenlijk | TOPIC.Media-entertainment
103,Ook vinden ze de advertenties via sociale media irritant.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.De | PRONOUN.3sg-fem | PRONOUN.3pl | TOPIC.Media-entertainment
104,Daarnaast zijn ze bezorgd over hun privacy.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.3sg-masc | PRONOUN.3pl
105,in & Zoek &e A Home Mijn netwerk Vacatures Berichten Notificaties Bericht Meer...,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | NP.Adjective-comparative | NP.Noun-compound | PRONOUN.1sg | TOPIC.Media-entertainment
106,Boushra Ik ben een ervaren psycholoog.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | TOPIC.Work-career
107,Ik geef therapie aan mensen die een depressie of andere persoonlijke problemen hebben.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | NP.Demonstrative | PRONOUN.Relative-clause | CONNECTOR.of-alternative | TOPIC.Health
108,Deze functie past goed bij mijn kwaliteiten.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.1sg | TOPIC.Work-career
109,"Ik ben geduldig, betrouwbaar en behulpzaam.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | CONNECTOR.en-additive
110,Mensen praten makkelijk over hun gevoel met mij en ik kan goed luisteren.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | PRONOUN.1sg | PRONOUN.3pl | MODALITY.Epistemic-kan | CONNECTOR.en-additive
111,Ik vind het belangrijk dat mensen zich tijdens de therapie veilig voelen.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.De | ARTICLE.Het | NP.Demonstrative | SYNTAX.Subordinate-clause
112,Vorig jaar heb ik mijn eerste boek geschreven.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.1sg
113,"Het gaat over een onderwerp dat ik altijd interessant gevonden heb, namelijk depressie bij jongeren. in Q Zoek &8 A Home Mijn netwerk Vacatures Berichten Notificaties Ik Bericht Meer...",SENTENCE_TYPE.Affirmative-declarative | TENSE.Perfectum | TENSE.Futurum-gaan | VERBCLUSTER.gaan-inf | NP.Demonstrative | NP.Adjective-comparative | NP.Noun-compound | PRONOUN.1sg | PARTICLE.namelijk | SYNTAX.Subordinate-clause | TOPIC.Media-entertainment | TOPIC.Health
114,Reza Al 15 jaar werk ik met veel plezier bij de Bijenkorf in Amsterdam.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.De | PRONOUN.1sg | TOPIC.Work-career | TOPIC.Travel-leisure
115,Tijdens mijn studie Business en Fashion heb ik een jaar bij de Bijenkorf stage gelopen.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.De | PRONOUN.1sg | CONNECTOR.en-additive | TOPIC.Work-career | TOPIC.Education
116,"Ik viel ook regelmatig in, als een verkoper ziek was.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Imperfectum | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | TOPIC.Work-career | TOPIC.Health
117,Na mijn studie ben ik verkoper geworden.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Perfectum | PRONOUN.1sg | TOPIC.Work-career | TOPIC.Education
118,En tegenwoordig geef ik als manager leiding aan een groep enthousiaste medewerkers.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.1sg | SYNTAX.Subordinate-clause | SYNTAX.Inversion-V2 | CONNECTOR.als-conditional | INFSTR.Topicalization-fronting | TOPIC.Work-career
119,Contact met collega's vind ik het leukste van mijn baan.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.Het | NP.Adjective-superlative | PRONOUN.1sg | TOPIC.Work-career | TOPIC.Relationships-family
120,Mijn collega's beschrijven me als sociaal en flexibel.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.1sg | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | CONNECTOR.en-additive | TOPIC.Work-career | TOPIC.Relationships-family
121,"Als het nodig is, val ik in of ruil ik een dag met een collega.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.Het | PRONOUN.1sg | SYNTAX.Subordinate-clause | CONNECTOR.of-alternative | TOPIC.Work-career | TOPIC.Relationships-family
122,Verder vind ik mezelf creatief en ik heb veel kennis van mode.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | VERB.Reflexive | PRONOUN.1sg | CONNECTOR.en-additive
123,Ook ben ik goed in verkopen.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.1sg
124,Ik kan heel goed kleding aan onze klanten verkopen. in a Zoek E Home he Mijn netwerk A Vacatures Berichten Notificaties Paulo Bericht Meer...,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | NP.Adjective-comparative | NP.Noun-compound | PRONOUN.1sg | PRONOUN.1pl | PARTICLE.hè-tag | DEGREE.Intensifier | MODALITY.Epistemic-kan | TOPIC.Media-entertainment | TOPIC.Daily-life
125,Ik ben een actief persoon die van hard werken houdt.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | NP.Demonstrative
126,Ik ben bijna klaar met mijn studie wiskunde en ik werk als bezorger bij PostNL.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.1sg | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | CONNECTOR.en-additive | TOPIC.Work-career | TOPIC.Education
127,Ook geef ik bijles aan scholieren die wiskunde moeilijk vinden.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | NP.Demonstrative | PRONOUN.1sg | TOPIC.Education
128,Op dit moment ben ik op zoek naar een serieuze baan.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | NP.Demonstrative | PRONOUN.1sg | TOPIC.Work-career
129,Ik ben kritisch en ik heb een duidelijke mening.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | PRONOUN.1sg | CONNECTOR.en-additive
130,Daarnaast kan ik goed met apparaten werken en ik ben dus erg handig.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | PRONOUN.1sg | DEGREE.Intensifier | MODALITY.Epistemic-kan | CONNECTOR.en-additive | CONNECTOR.dus-consecutive
131,Ik heb vooral interesse in een baan bij een klein bedrijf.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | TOPIC.Work-career
132,"Ik ben zelfstandig, maar ik kan ook goed samenwerken.",SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | VERB.Separable-verb | PRONOUN.1sg | PARTICLE.maar | MODALITY.Epistemic-kan | CONNECTOR.maar-adversative
133,Een goede sfeer op het werk vind ik heel belangrijk.,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.Het | PRONOUN.1sg | DEGREE.Intensifier | TOPIC.Work-career
